name;email;age;salary;isActive
Mariah;Mariah69@gmail.com;71;5812;false
Emmanuel;Emmanuel_Jenkins@hotmail.com;97;8855;true
Chaim;Chaim45@hotmail.com;81;5692;false
Haskell;Haskell39@hotmail.com;93;1568;true
Zachariah;Zachariah7@hotmail.com;69;9581;true
Shakira;Shakira85@yahoo.com;87;7455;true
Stuart;Stuart_Terry-Rogahn@hotmail.com;93;3062;true
Jefferey;Jefferey.West68@gmail.com;37;2424;true
Mekhi;Mekhi.Lebsack@gmail.com;47;2878;false
Brisa;Brisa_Ankunding@hotmail.com;79;5471;false
Gunner;Gunner83@hotmail.com;72;1352;false
Jan;Jan.OConnell@gmail.com;64;0195;true
Eileen;Eileen.Schowalter73@hotmail.com;50;6557;true
Adolf;Adolf0@yahoo.com;87;2998;true
Jayson;Jayson84@hotmail.com;42;7983;true
Electa;Electa25@hotmail.com;62;0346;true
Albina;Albina.Emard20@gmail.com;84;7186;true
Abbigail;Abbigail_Towne48@hotmail.com;77;0134;false
Vickie;Vickie.Auer3@gmail.com;81;7801;true
Cali;Cali42@gmail.com;67;0964;true
Frank;Frank60@gmail.com;94;5905;false
Dock;Dock.Spencer@yahoo.com;100;7697;true
Domenica;Domenica92@yahoo.com;83;9609;false
Jamie;Jamie_Heidenreich80@gmail.com;15;1074;true
Paxton;Paxton.Herzog43@gmail.com;69;7935;false
Anissa;Anissa95@gmail.com;46;9461;false
Karlie;Karlie13@hotmail.com;56;9326;false
Fabian;Fabian.Runolfsson28@gmail.com;39;3169;false
Jean;Jean85@yahoo.com;12;7367;true
Lillian;Lillian_Kuphal@gmail.com;77;1550;true
Tanner;Tanner20@hotmail.com;23;7732;false
Preston;Preston19@yahoo.com;62;7654;false
Gordon;Gordon69@hotmail.com;85;7318;true
Isobel;Isobel11@gmail.com;58;9679;false
Melissa;Melissa.Schowalter@hotmail.com;73;4009;false
Abby;Abby_Toy@gmail.com;39;7716;true
Jamil;Jamil_Kozey@yahoo.com;87;2422;true
Jasen;Jasen.Hane@gmail.com;86;5160;true
Misty;Misty7@hotmail.com;61;2374;false
Vada;Vada.Quitzon@gmail.com;50;6342;true
Elody;Elody.Denesik@hotmail.com;76;5248;false
Jermaine;Jermaine_OReilly@yahoo.com;52;0289;false
Dedric;Dedric_Hammes@hotmail.com;54;1999;false
Angelo;Angelo69@hotmail.com;27;9568;false
Lurline;Lurline_Steuber18@hotmail.com;37;8046;true
Donnie;Donnie.Donnelly@yahoo.com;73;0379;true
Mark;Mark.Sauer3@hotmail.com;97;3692;true
Eulah;Eulah.McCullough90@gmail.com;46;1187;true
Kitty;Kitty.Reichert@yahoo.com;46;0254;false
Coy;Coy_Wolff@yahoo.com;82;3999;true
